Borough,Names,Median Age 2011,Population Density (persons per sq km) 2011,No people in household have English as a main language 2011,All Households 2011,Mean Modelled Household income (£) 2012/13,Economically active: % Unemployed 2011,% No qualifications 2011,Rates children (0-18) living in Out-of-work Benefit Claimant Households 2011,Total crime (numbers) 2011,Total Crime Rate 2011,Drugs Crime Total Number 2011,% People with Bad or Very Bad Health 2011,% area that is greenspace 2012
Bexley,Sidcup,42,4037.0,100,4494,49970,5.4,19.1,8.4,565,51.8,33,4.7,25.8
Bexley,Thamesmead East,31,2531.3,346,4571,38410,14.9,20.8,23.2,743,61.2,60,4.7,70.5
Brent,Alperton,32,6690.5,1343,4156,38550,9.0,22.1,15.1,1366,97.2,101,4.4,17.7
Brent,Barnhill,33,5283.3,1237,5407,42740,10.3,18.1,21.3,1222,77.1,139,5.7,31.6
Brent,Brondesbury Park,34,7676.5,867,5338,49860,7.8,15.9,20.2,1140,87.4,173,5.9,9.6
Brent,Dollis Hill,32,5847.8,938,4264,38230,11.4,24.4,32.9,1200,89.2,110,5.4,26.6
Brent,Dudden Hill,32,8882.4,1235,5198,41280,10.6,19.8,31.5,1575,104.3,212,5.2,11.5
Brent,Fryent,34,5000.0,958,4374,43960,9.1,20.3,17.1,980,72.6,100,4.9,39.3
Brent,Harlesden,31,15636.4,1532,6654,33620,15.6,24.1,36.2,2341,136.1,497,6.5,8.9
Brent,Kensal Green,34,13590.9,1329,6063,42750,10.4,19.7,26.5,1622,108.5,245,5.8,6.9
Brent,Kenton,38,5282.6,757,3866,52870,7.7,17.3,10.4,746,61.4,77,4.7,17.0
Brent,Kilburn,32,18944.4,1409,7658,42280,10.9,17.1,33.8,1929,113.1,402,6.3,11.2
Brent,Mapesbury,32,11107.1,1346,6307,45580,8.7,14.5,23.8,1375,88.4,133,4.9,9.7
Brent,Northwick Park,34,4759.3,818,4139,51340,8.8,13.4,12.2,913,71.1,87,4.0,32.0
Brent,Preston,32,6479.2,1140,4995,44440,8.9,17.5,19.5,1195,76.8,173,4.7,19.1
Brent,Queens Park,34,10233.3,903,6274,53850,6.8,13.3,17.3,1547,100.8,183,4.4,19.1
Brent,Queensbury,33,7600.0,1138,4727,43360,8.2,21.4,19.6,1343,88.4,110,5.5,13.7
Brent,Stonebridge,29,4134.1,1017,5903,32250,17.2,25.9,39.6,2369,139.8,392,6.9,16.3
Brent,Sudbury,32,7142.9,1373,4843,41350,9.2,18.1,17.8,1077,71.8,119,5.3,34.6
Brent,Tokyngton,32,5410.7,1296,4864,40860,9.8,19.4,18.2,1828,120.7,420,5.1,19.7
Brent,Welsh Harp,33,6000.0,1103,4809,39000,10.9,22.6,24.1,1104,80.0,128,5.6,34.2
Brent,Wembley Central,32,9218.8,1441,4380,38290,10.3,20.7,18.6,2094,142.0,250,5.3,20.1
Brent,Willesden Green,31,10433.3,1571,6067,38710,10.4,18.5,30.4,1849,118.1,223,4.9,36.8
Bromley,Bickley,42,3091.8,161,5967,61330,4.4,14.5,6.6,684,45.1,24,4.0,22.1
Bromley,Biggin Hill,42,1204.8,20,3910,52070,4.8,18.3,10.7,471,47.1,19,3.4,71.4
Bromley,Bromley Common and Keston,40,1825.3,121,6209,51480,6.6,20.5,15.3,800,52.8,42,4.4,59.3
Bromley,Bromley Town,37,4567.6,362,7414,55730,5.5,13.1,11.7,2585,153.0,144,3.4,18.0
Bromley,Chelsfield and Pratts Bottom,43,1154.8,77,5830,57790,4.3,16.4,6.4,512,35.2,13,3.1,69.2
Bromley,Chislehurst,43,1432.7,117,6084,59910,4.5,15.8,7.5,1080,72.5,40,4.0,60.0
Bromley,Clock House,37,6782.6,269,6901,53100,6.2,15.2,12.2,861,55.2,66,3.8,16.3
